DBUID,CSDUID,CSDNAME,CMAUID,CMANAME,PRUID,PRNAME,acs_idx_hf,acs_idx_emp,acs_idx_srf,acs_idx_psef,acs_idx_ef,acs_lvl_gs-1,acs_lvl_gs-3,acs_lvl_gs-5,acs_idx_caf
35200969001,3520005,Toronto,535.0,Toronto,35,ON,0.493430633,0.644276414,0.514168678,0.07951298,0.620875429,6.0,11.0,13.0,0.526859348
35200969002,3520005,Toronto,535.0,Toronto,35,ON,0.469290164,0.619952339,0.483805033,0.076887929,0.603446877,11.0,11.0,13.0,0.496558708
35200974001,3520005,Toronto,535.0,Toronto,35,ON,0.480569831,0.598810969,0.477692097,0.077646358,0.581185302,8.0,18.0,22.0,0.514526738
35200974002,3520005,Toronto,535.0,Toronto,35,ON,0.47339766,0.603162718,0.47538944,0.078618087,0.577462578,10.0,20.0,22.0,0.503582879
35200974003,3520005,Toronto,535.0,Toronto,35,ON,0.496906224,0.619529726,0.499602131,0.080191987,0.600871529,4.0,18.0,21.0,0.539177275
35200974004,3520005,Toronto,535.0,Toronto,35,ON,0.496246973,0.625037854,0.501581923,0.081332135,0.603056511,6.0,19.0,21.0,0.535421193
35200975001,3520005,Toronto,535.0,Toronto,35,ON,0.450638949,0.570248189,0.450654241,0.074559137,0.550960239,7.0,19.0,23.0,0.485939127
35200976003,3520005,Toronto,535.0,Toronto,35,ON,0.456006413,0.568259133,0.45509069,0.075014535,0.551455771,7.0,18.0,22.0,0.494900051
35200976004,3520005,Toronto,535.0,Toronto,35,ON,0.474691931,0.594460969,0.477451132,0.077396581,0.573990163,7.0,20.0,21.0,0.520314237
35200976006,3520005,Toronto,535.0,Toronto,35,ON,0.496463243,0.608742493,0.488654951,0.078563875,0.591904683,9.0,17.0,21.0,0.525531131
35200976007,3520005,Toronto,535.0,Toronto,35,ON,0.484921419,0.598591731,0.479492475,0.077431745,0.582926696,9.0,18.0,22.0,0.515204622
35200976008,3520005,Toronto,535.0,Toronto,35,ON,0.485879822,0.603771063,0.487259273,0.078742945,0.583400427,5.0,16.0,21.0,0.527288044
35200976009,3520005,Toronto,535.0,Toronto,35,ON,0.494557166,0.613787125,0.500084874,0.080619159,0.593495502,3.0,16.0,20.0,0.542891742
35200977002,3520005,Toronto,535.0,Toronto,35,ON,0.429421718,0.533700946,0.415904912,0.071370817,0.518519615,14.0,22.0,23.0,0.448836017
35200977003,3520005,Toronto,535.0,Toronto,35,ON,0.437111891,0.54515952,0.423855862,0.070091429,0.528965963,13.0,21.0,23.0,0.453774354
